ID,DeviceName,Location
LTE03,TrapS29,Shakespear
LTE04,TrapS07,Shakespear
LTE07,TrapS09,Shakespear
LTE08,TrapS10,Shakespear
LTE09,TrapS11,Shakespear
LTE10,TrapS28,Shakespear
LTE11,TrapS12,Shakespear
LTE12,TrapS13,Shakespear
LTE13,Tomahawk01,Tawharanui
LTE14,TrapS14,Shakespear
LTE15,TrapS30,Shakespear
LTE16,Trap16,Tawharanui
LTE18,TrapS15,Shakespear
LTE19,TrapS16,Shakespear
LTE20,TrapS17,Shakespear
LTE21,TrapS18,Shakespear
LTE22,TrapS01,Shakespear
LTE23,TrapS02,Shakespear
LTE24,TrapS19,Shakespear
LTE25,TrapS10,Shakespear
LTE26,TrapS20,Shakespear
LTE27,TrapS21,Shakespear
LTE28,TrapS04,Shakespear
LTE29,TrapS22,Shakespear
LTE30,TrapS03,Shakespear
LTE32,TrapS08,Shakespear
LTE33,TrapS23,Shakespear
LTE35,WaterGate,Shakespear
LTE36,ScruffyDome,Shakespear
LTE37,HT005,Tawharanui
LTE38,HT001,Tawharanui
LTE39,HT002,Tawharanui
LTE40,HT003,Tawharanui
LTE41,HT004,Tawharanui
LTE43,HT009,Tawharanui
LTE44,HT008,Tawharanui
LTE46,HT010,Tawharanui
LTE47,Tomahawk02,Tawharanui
LTE48,HT006,Tawharanui
LTE49,HT013,Tawharanui
LTE50,HT014,Tawharanui
LTE51,HT015,Tawharanui
MatakanaGW2,MatakanaGW2,Matakana GW2
PSG6,TPSG6,Kari Street
QueensWharf,QueensWharf,Queens Wharf
RM01,RM01,Te Rau Puriri
RP1DF,RP1DF,Duders RP1
RP1H,RP1H,Hunua Wairoa
RP1T,TAW_RP1,Tawharanui RP1
RP1WP,RP1WP,Whatipu RP1
RP2AC,Atiu RP1,Atiu Park
RP2AC,RP2AC,Atiu Park
RP2FR,RP2FR,Falls RD RP2
RP2HU,RP2HU,Hunua RP2
RP2PO,RP2PO,PaeO RP 2
RP2T,TAW_RP2,Tawharanui RP2
RP2TK,RP2TK,Waiheke TKOW RP2
RP2WP,RP2WP,Whatipu RP2
RP3FR,RP1FR,Falls RD RP1
RP3T,TAW_RP3,Tawharanui RP3
RP3TK,RP3TK,Waiheke TKOW RP3
RP4T,TAW_RP4,Tawharanui RP4
RP4WP,RP4WP,Whatipu RP3
RP5T,TAW_RP8,Tawharanui RP5
RPA1,RPA1,Keddle Repeater
RPAKN,RPAKN,Albert North RP
RPAKS,RPAKS,Albert South Repeater
RPAL1,RPAL1,Anawhata Lower Repeater
RPAW1,RPAW1,Awhitu Park RP
RPCR1,RPCR1,Anawhata Upper Repeater
RPMW2,RPMW2,Muiriwai RP2
RPP1,RPP1,PaeO RP 1
RPS1,RPS1,Shakespear RP1
RPS2,RPS2,Shakespear RP2
RPS3,RPS3,Shakespear RP3
RPS4,RPS4,Shakespear RP4
RPS5,RPS5,Shakespear RP5
RPS6,RPS6,Shakespear RP6
RPS7,RPS7,Shakespear RP7
RPTKW1,RPTKW1,Waiheke TKOW RP1
RPTR,RPTR,Te Rau Puriri
RPWH1,RPWH1,Waiheke Backpackers
RPWH2,RPWH2,Waiheke Mawhitipana Reserve
SM7G004,SM7G004,Craw Homestead
SM7G008,SM7G008,Cossey Dam
SM7G009,SM7G009,Puhoi
SM7G010,SM7G010,Bethells Beach
SM7G011,SM7G011,Opaheke Park
SM7Lib01,SM7Lib01,Central City Library
SM7Matakana,SM7Matakana,Matakana GW
SM7Shakespear,SM7Shakespear,Shakespear GW
SM7TawTrig,SM7TawTrig,Tāwharanui Trig GW
SM7TeArai,SM7TeArai,Te Arai Beach
SM7TKOW,SM7TKOW,Waiheke TKOW
SM7TKOW2,SM7TKOW2,Waiheke TKOW
SM7TKOW3,SM7TKOW3,Waiheke TKOW
SM7Waiheke,SM7Waiheke,Waiheke Trig Hill
SM7Whakatewai,SM7Whakatewai,Whakatiwai
SM7Whatipu,SM7Whatipu,Whatipu
ST1H,STH0E,Cosseys Site E
ST2B,SEC0B,Waitakere Site B
ST2C,SEC0C,Waitakere Site C
ST2H,STH0C,Cosseys Site C
STAH,STAHunua,Wairoa Site A
STAW,STP0A,Waitakere Site A
STB1,MatakanaS40,Matakana River
STB4,MatakanaS40_2,RosemountBridge
STGH,STGControl,Wairoa Control
TNPS1,SandSpitSterigene,Sandspit Sterigene
TNPS2,TNPS2,Queens Wharf
TNPS3,TNPS3,Viaduct Harbour
TNPS4,TNPS4,SeaLink Hamer St
TRPS1,TRPS1,Not defined
TRPS2,TRPS2,Not defined
TTGW11,TTGW11,Tāwharanui GW
TTGW1C,TTGW1C,Sandspit
TTGW1E,TTGW1E,Hunua Ranger GW
TTGW1H,TTGW1H,Whitford Hall
TTGW200,TTGW200,Waiheke Blackpool Hall
TTGW201,TTGW201,Waiheke Library
TTGW202,TTGW202,Hingaia Reserve
TTGW204,TTGW204,Tapapakanga
TTGW205,TTGW205,Pakiri Hall
TTGW206,TTGW206,Te Muri House
TTGW207,TTGW207,Mahurangi West
TTGW209,TTGW209,Scandrett Park
TTGW210,TTGW210,Old Surfdale Post Office
TTGW211,TTGW211,Arataki Visitor C
TTGW213,TTGW213,Waitakere Golf Club
TTGW214,TTGW214,Tomarata School
TTGW215,TTGW215,Ranfurly Hall
TTGW216,TTGW216,Waharau Regional Park
TTGW217,TTGW217,Glenbrook Kindergarten
TTGW218,TTGW218,Huia Rangers
TTGW219,TTGW219,Whangateau HP
TTGWAtiu,TTGWAtiu,Atiu Creek
TTGWAwhitu,TTGWAwhitu,Awhitu
TTGWB1,TTGWB1,Te Rau Puriri
TTGWBarrC,TTGWBarrC,Barr Cottage
TTGWBBYC,TTGWBBYC,Bucklands Beach Yacht Club
TTGWBL,TTGWBL,Beachlands Library
TTGWBT,TTGWBT,Botanical GW
TTGWBTB,TTGWBTB,Bottle Top Bay
TTGWDuders,TTGWDuders,Duders Park
TTGWHunuaF,TTGWHunuaF,Hunua Falls
TTGWKaraka,TTGWKaraka,Karaka Rugby Club
TTGWKKK,TTGWKKK,Kaukapakapa Hall
TTGWKokako,TTGWKokako,Kokako House
TTGWPH,TTGWPH,Piha Gateway
TTGWSH,TTGWSH,Waiheke Hill Road
TTGWTitiLib,TTGWTitiLib,Titirangi Library
TTGWTKOW,TTGWTKOW,TKOW Office
TTGWWaiheke,TTGWWaiheke,Whakanewha Ranger Station
WhatipuLodge,WhatipuLodge,Whatipu
WMR01,Meter01,Tomarata
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,TKOW29,Waiheke
